mood,playlist,url
Весенняя музыка,Весенние новинки,https://music.yandex.ru/users/music-blog/playlists/1624
Весенняя музыка,Пение птиц,https://music.yandex.ru/users/yamusic-sound/playlists/1013
Весенняя музыка,Летящей походкой,https://music.yandex.ru/users/music-blog/playlists/2384
Весенняя музыка,Генеральная весенняя уборка,https://music.yandex.ru/users/music.partners/playlists/1580
Весенняя музыка,Запах весны,https://music.yandex.ru/users/ya.indietronica/playlists/1004
Весенняя музыка,Звучит как весна,https://music.yandex.ru/users/music.partners/playlists/1581
Весенняя музыка,Звуки леса,https://music.yandex.ru/users/yamusic-sound/playlists/1003
Весенняя музыка,Весенние ноты,https://music.yandex.ru/users/music-blog/playlists/1146
Весенняя музыка,Танцевальная весна,https://music.yandex.ru/users/music-blog/playlists/1153
Весенняя музыка,Пусть цветут пионы,https://music.yandex.ru/users/music-blog/playlists/1333
Весенняя музыка,Для весенней пробежки,https://music.yandex.ru/users/music.partners/playlists/1603
Весенняя музыка,В душе уже лето,https://music.yandex.ru/users/music-blog/playlists/2504
Весенняя музыка,Весна в стиле ретро,https://music.yandex.ru/users/music-blog/playlists/2501
Весенняя музыка,Капель за окном,https://music.yandex.ru/users/music-blog/playlists/1326
Весенняя музыка,Рифмы и флоу весны,https://music.yandex.ru/users/music-blog/playlists/1332
Радостная музыка,Когда так и хочется танцевать,https://music.yandex.ru/users/music.partners/playlists/1881
Радостная музыка,Заряд радости,https://music.yandex.ru/users/ya.playlist/playlists/1262
Радостная музыка,Для поднятия настроения,https://music.yandex.ru/users/music-blog/playlists/1436
Радостная музыка,Летящей походкой,https://music.yandex.ru/users/music-blog/playlists/2384
Радостная музыка,Саундтрек праздника,https://music.yandex.ru/users/music-blog/playlists/1409
Радостная музыка,"Песни, разгоняющие темноту",https://music.yandex.ru/users/music-blog/playlists/1517
Радостная музыка,Начать все заново,https://music.yandex.ru/users/music-blog/playlists/2236
Радостная музыка,Вечеринка в стиле эйсид-джаз,https://music.yandex.ru/users/music-blog/playlists/2258
Радостная музыка,Музыкальное конфетти,https://music.yandex.ru/users/music-blog/playlists/1705
Радостная музыка,Всегда шестнадцать,https://music.yandex.ru/users/music-blog/playlists/1944
Радостная музыка,Пойдем смотреть салют,https://music.yandex.ru/users/music-blog/playlists/1836
